,name,sex,births,year
102,Kathryn,F,204,1880
103,Esther,F,198,1880
104,Willie,F,192,1880
105,Henrietta,F,191,1880
106,Ollie,F,183,1880
107,Amy,F,167,1880
108,Rachel,F,166,1880
109,Sara,F,165,1880
110,Estella,F,162,1880
111,Theresa,F,153,1880
112,Augusta,F,151,1880
113,Ora,F,149,1880
114,Pauline,F,144,1880
115,Josie,F,141,1880
116,Lola,F,138,1880
117,Sophia,F,138,1880
118,Leona,F,137,1880
119,Anne,F,136,1880
120,Mildred,F,132,1880
121,Ann,F,131,1880
122,Beulah,F,131,1880
123,Callie,F,131,1880
124,Lou,F,131,1880
125,Delia,F,129,1880
126,Eleanor,F,129,1880
127,Barbara,F,127,1880
128,Iva,F,127,1880
129,Louisa,F,126,1880
130,Maria,F,125,1880
131,Mayme,F,124,1880
132,Evelyn,F,122,1880
133,Estelle,F,119,1880
134,Nina,F,119,1880
135,Betty,F,117,1880
136,Marion,F,115,1880
137,Bettie,F,113,1880
138,Dorothy,F,112,1880
139,Luella,F,111,1880
140,Inez,F,106,1880
141,Lela,F,106,1880
142,Rosie,F,106,1880
143,Allie,F,105,1880
144,Millie,F,105,1880
145,Janie,F,96,1880
146,Cornelia,F,94,1880
147,Victoria,F,93,1880
148,Ruby,F,92,1880
149,Winifred,F,92,1880
150,Alta,F,91,1880
151,Celia,F,90,1880
152,Christine,F,89,1880
153,Beatrice,F,87,1880
154,Birdie,F,85,1880
155,Harriett,F,83,1880
156,Mable,F,83,1880
157,Myra,F,83,1880
158,Sophie,F,83,1880
159,Tillie,F,83,1880
160,Isabel,F,81,1880
161,Sylvia,F,81,1880
162,Carolyn,F,80,1880
163,Isabelle,F,80,1880
164,Leila,F,80,1880
165,Sally,F,80,1880
166,Ina,F,79,1880
167,Essie,F,78,1880
168,Bertie,F,77,1880
169,Nell,F,77,1880
170,Alberta,F,76,1880
171,Katharine,F,76,1880
172,Lora,F,74,1880
173,Rena,F,74,1880
174,Mina,F,73,1880
175,Rhoda,F,73,1880
176,Mathilda,F,72,1880
177,Abbie,F,71,1880
178,Eula,F,70,1880
179,Dollie,F,69,1880
180,Hettie,F,69,1880
181,Eunice,F,67,1880
182,Fanny,F,67,1880
183,Ola,F,67,1880
184,Lenora,F,66,1880
185,Adelaide,F,65,1880
186,Christina,F,65,1880
187,Lelia,F,65,1880
188,Nelle,F,65,1880
189,Sue,F,65,1880
190,Johanna,F,64,1880
191,Lilly,F,64,1880
192,Lucinda,F,63,1880
193,Minerva,F,63,1880
194,Lettie,F,62,1880
195,Roxie,F,62,1880
196,Cynthia,F,61,1880
197,Helena,F,60,1880
198,Hilda,F,60,1880
199,Hulda,F,60,1880
200,Bernice,F,59,1880
201,Genevieve,F,59,1880
202,Jean,F,59,1880
203,Cordelia,F,58,1880
204,Marian,F,56,1880
205,Francis,F,55,1880
206,Jeanette,F,55,1880
207,Adeline,F,54,1880
208,Gussie,F,54,1880
209,Leah,F,54,1880
210,Lois,F,53,1880
211,Lura,F,53,1880
212,Mittie,F,53,1880
213,Hallie,F,51,1880
214,Isabella,F,50,1880
215,Olga,F,50,1880
216,Phoebe,F,50,1880
217,Teresa,F,50,1880
218,Hester,F,49,1880
219,Lida,F,49,1880
220,Lina,F,49,1880
221,Winnie,F,49,1880
222,Claudia,F,48,1880
223,Marguerite,F,48,1880
224,Vera,F,48,1880
225,Cecelia,F,47,1880
226,Bess,F,46,1880
227,Emilie,F,46,1880
228,John,F,46,1880
229,Rosetta,F,46,1880
230,Verna,F,46,1880
231,Myrtie,F,45,1880
232,Cecilia,F,44,1880
233,Elva,F,44,1880
234,Olivia,F,44,1880
235,Ophelia,F,44,1880
236,Georgie,F,43,1880
237,Elnora,F,42,1880
238,Violet,F,42,1880
239,Adele,F,41,1880
240,Lily,F,41,1880
241,Linnie,F,41,1880
242,Loretta,F,41,1880
243,Madge,F,41,1880
244,Polly,F,41,1880
245,Virgie,F,41,1880
246,Eugenia,F,40,1880
247,Lucile,F,40,1880
248,Lucille,F,40,1880
249,Mabelle,F,39,1880
250,Rosalie,F,39,1880
251,Kittie,F,38,1880
252,Meta,F,37,1880
253,Angie,F,36,1880
254,Dessie,F,36,1880
255,Georgiana,F,36,1880
256,Lila,F,36,1880
257,Regina,F,36,1880
258,Selma,F,36,1880
259,Wilhelmina,F,36,1880
260,Bridget,F,35,1880
261,Lilla,F,35,1880
262,Malinda,F,35,1880
263,Vina,F,35,1880
264,Freda,F,34,1880
265,Gertie,F,34,1880
266,Jeannette,F,34,1880
267,Louella,F,34,1880
268,Mandy,F,34,1880
269,Roberta,F,34,1880
270,Cassie,F,33,1880
271,Corinne,F,33,1880
272,Ivy,F,33,1880
273,Melissa,F,33,1880
274,Lyda,F,32,1880
275,Naomi,F,32,1880
276,Norma,F,32,1880
277,Bell,F,31,1880
278,Margie,F,31,1880
279,Nona,F,31,1880
280,Zella,F,31,1880
281,Dovie,F,30,1880
282,Elvira,F,30,1880
283,Erma,F,30,1880
284,Irma,F,30,1880
285,Leota,F,30,1880
286,William,F,30,1880
287,Artie,F,29,1880
288,Blanch,F,29,1880
289,Charity,F,29,1880
290,Lorena,F,29,1880
291,Lucretia,F,29,1880
292,Orpha,F,29,1880
293,Alvina,F,28,1880
294,Annette,F,28,1880
295,Catharine,F,28,1880
296,Elma,F,28,1880
297,Geneva,F,28,1880
298,Janet,F,28,1880
299,Lee,F,28,1880
300,Leora,F,28,1880
301,Lona,F,28,1880
302,Miriam,F,28,1880
303,Zora,F,28,1880
304,Linda,F,27,1880
305,Octavia,F,27,1880
306,Sudie,F,27,1880
307,Zula,F,27,1880
308,Adella,F,26,1880
309,Alpha,F,26,1880
310,Frieda,F,26,1880
311,George,F,26,1880
312,Joanna,F,26,1880
313,Leonora,F,26,1880
314,Priscilla,F,26,1880
315,Tennie,F,26,1880
316,Angeline,F,25,1880
317,Docia,F,25,1880
318,Ettie,F,25,1880
319,Flossie,F,25,1880
320,Hanna,F,25,1880
321,Letha,F,25,1880
322,Minta,F,25,1880
323,Retta,F,25,1880
324,Rosella,F,25,1880
325,Adah,F,24,1880
326,Berta,F,24,1880
327,Elisabeth,F,24,1880
328,Elise,F,24,1880
329,Goldie,F,24,1880
330,Leola,F,24,1880
331,Margret,F,24,1880
332,Adaline,F,23,1880
333,Floy,F,23,1880
334,Idella,F,23,1880
335,Juanita,F,23,1880
336,Lenna,F,23,1880
337,Lucie,F,23,1880
338,Missouri,F,23,1880
339,Nola,F,23,1880
340,Zoe,F,23,1880
341,Eda,F,22,1880
342,Isabell,F,22,1880
343,James,F,22,1880
344,Julie,F,22,1880
345,Letitia,F,22,1880
346,Madeline,F,22,1880
347,Malissa,F,22,1880
348,Mariah,F,22,1880
349,Pattie,F,22,1880
350,Vivian,F,22,1880
351,Almeda,F,21,1880
352,Aurelia,F,21,1880
353,Claire,F,21,1880
354,Dolly,F,21,1880
355,Hazel,F,21,1880
356,Jannie,F,21,1880
357,Kathleen,F,21,1880
358,Kathrine,F,21,1880
359,Lavinia,F,21,1880
360,Marietta,F,21,1880
361,Melvina,F,21,1880
362,Ona,F,21,1880
363,Pinkie,F,21,1880
364,Samantha,F,21,1880
365,Susanna,F,21,1880
366,Chloe,F,20,1880
367,Donnie,F,20,1880
368,Elsa,F,20,1880
369,Gladys,F,20,1880
370,Matie,F,20,1880
371,Pearle,F,20,1880
372,Vesta,F,20,1880
373,Vinnie,F,20,1880
374,Antoinette,F,19,1880
375,Clementine,F,19,1880
376,Edythe,F,19,1880
377,Harriette,F,19,1880
378,Libbie,F,19,1880
379,Lilian,F,19,1880
380,Lue,F,19,1880
381,Lutie,F,19,1880
382,Magdalena,F,19,1880
383,Meda,F,19,1880
384,Rita,F,19,1880
385,Tena,F,19,1880
386,Zelma,F,19,1880
387,Adelia,F,18,1880
388,Annetta,F,18,1880
389,Antonia,F,18,1880
390,Dona,F,18,1880
391,Elizebeth,F,18,1880
392,Georgianna,F,18,1880
393,Gracie,F,18,1880
394,Iona,F,18,1880
395,Lessie,F,18,1880
396,Leta,F,18,1880
397,Liza,F,18,1880
398,Mertie,F,18,1880
399,Molly,F,18,1880
400,Neva,F,18,1880
401,Oma,F,18,1880
402,Alida,F,17,1880
403,Alva,F,17,1880
404,Cecile,F,17,1880
405,Cleo,F,17,1880
406,Donna,F,17,1880
407,Ellie,F,17,1880
408,Ernestine,F,17,1880
409,Evie,F,17,1880
410,Frankie,F,17,1880
411,Helene,F,17,1880
412,Minna,F,17,1880
413,Myrta,F,17,1880
414,Prudence,F,17,1880
415,Queen,F,17,1880
416,Rilla,F,17,1880
417,Savannah,F,17,1880
418,Tessie,F,17,1880
419,Tina,F,17,1880
420,Agatha,F,16,1880
421,America,F,16,1880
422,Anita,F,16,1880
423,Arminta,F,16,1880
424,Dorothea,F,16,1880
425,Ira,F,16,1880
426,Luvenia,F,16,1880
427,Marjorie,F,16,1880
428,Maybelle,F,16,1880
429,Mellie,F,16,1880
430,Nan,F,16,1880
431,Pearlie,F,16,1880
432,Sidney,F,16,1880
433,Velma,F,16,1880
434,Clare,F,15,1880
435,Constance,F,15,1880
436,Dixie,F,15,1880
437,Ila,F,15,1880
438,Iola,F,15,1880
439,Jimmie,F,15,1880
440,Louvenia,F,15,1880
441,Lucia,F,15,1880
442,Ludie,F,15,1880
443,Luna,F,15,1880
444,Metta,F,15,1880
445,Patsy,F,15,1880
446,Phebe,F,15,1880
447,Sophronia,F,15,1880
448,Adda,F,14,1880
449,Avis,F,14,1880
450,Betsy,F,14,1880
451,Bonnie,F,14,1880
452,Cecil,F,14,1880
453,Cordie,F,14,1880
454,Emmaline,F,14,1880
455,Ethelyn,F,14,1880
456,Hortense,F,14,1880
457,June,F,14,1880
458,Louie,F,14,1880
459,Lovie,F,14,1880
460,Marcella,F,14,1880
461,Melinda,F,14,1880
462,Mona,F,14,1880
463,Odessa,F,14,1880
464,Veronica,F,14,1880
465,Aimee,F,13,1880
466,Annabel,F,13,1880
467,Ava,F,13,1880
468,Bella,F,13,1880
469,Carolina,F,13,1880
470,Cathrine,F,13,1880
471,Christena,F,13,1880
472,Clyde,F,13,1880
473,Dena,F,13,1880
474,Dolores,F,13,1880
475,Eleanore,F,13,1880
476,Elmira,F,13,1880
477,Fay,F,13,1880
478,Frank,F,13,1880
479,Jenny,F,13,1880
480,Kizzie,F,13,1880
481,Lonnie,F,13,1880
482,Loula,F,13,1880
483,Magdalene,F,13,1880
484,Mettie,F,13,1880
485,Mintie,F,13,1880
486,Peggy,F,13,1880
487,Reba,F,13,1880
488,Serena,F,13,1880
489,Vida,F,13,1880
490,Zada,F,13,1880
491,Abigail,F,12,1880
492,Celestine,F,12,1880
493,Celina,F,12,1880
494,Claudie,F,12,1880
495,Clemmie,F,12,1880
496,Connie,F,12,1880
497,Daisie,F,12,1880
498,Deborah,F,12,1880
499,Dessa,F,12,1880
500,Easter,F,12,1880
501,Eddie,F,12,1880
502,Emelia,F,12,1880
503,Emmie,F,12,1880
504,Imogene,F,12,1880
505,India,F,12,1880
506,Jeanne,F,12,1880
507,Joan,F,12,1880
508,Lenore,F,12,1880
509,Liddie,F,12,1880
510,Lotta,F,12,1880
511,Mame,F,12,1880
512,Nevada,F,12,1880
513,Rachael,F,12,1880
514,Robert,F,12,1880
515,Sina,F,12,1880
516,Willa,F,12,1880
517,Aline,F,11,1880
518,Beryl,F,11,1880
519,Charles,F,11,1880
520,Daisey,F,11,1880
521,Dorcas,F,11,1880
522,Edmonia,F,11,1880
523,Effa,F,11,1880
524,Eldora,F,11,1880
525,Eloise,F,11,1880
526,Emmer,F,11,1880
527,Era,F,11,1880
528,Gena,F,11,1880
529,Henry,F,11,1880
530,Iris,F,11,1880
531,Izora,F,11,1880
532,Lennie,F,11,1880
533,Lissie,F,11,1880
534,Mallie,F,11,1880
535,Malvina,F,11,1880
536,Mathilde,F,11,1880
537,Mazie,F,11,1880
538,Queenie,F,11,1880
539,Rosina,F,11,1880
540,Salome,F,11,1880
541,Theodora,F,11,1880
542,Therese,F,11,1880
543,Vena,F,11,1880
544,Wanda,F,11,1880
545,Wilda,F,11,1880
546,Altha,F,10,1880
547,Anastasia,F,10,1880
548,Besse,F,10,1880
549,Bird,F,10,1880
550,Birtie,F,10,1880
551,Clarissa,F,10,1880
552,Claude,F,10,1880
553,Delilah,F,10,1880
554,Diana,F,10,1880
555,Emelie,F,10,1880
556,Erna,F,10,1880
557,Fern,F,10,1880
558,Florida,F,10,1880
559,Frona,F,10,1880
560,Hilma,F,10,1880
561,Joseph,F,10,1880
562,Juliet,F,10,1880
563,Leonie,F,10,1880
564,Lugenia,F,10,1880
565,Mammie,F,10,1880
566,Manda,F,10,1880
567,Manerva,F,10,1880
568,Manie,F,10,1880
569,Nella,F,10,1880
570,Paulina,F,10,1880
571,Philomena,F,10,1880
572,Rae,F,10,1880
573,Selina,F,10,1880
574,Sena,F,10,1880
575,Theodosia,F,10,1880
576,Tommie,F,10,1880
577,Una,F,10,1880
578,Vernie,F,10,1880
579,Adela,F,9,1880
580,Althea,F,9,1880
581,Amalia,F,9,1880
582,Amber,F,9,1880
583,Angelina,F,9,1880
584,Annabelle,F,9,1880
585,Anner,F,9,1880
586,Arie,F,9,1880
587,Clarice,F,9,1880
588,Corda,F,9,1880
589,Corrie,F,9,1880
590,Dell,F,9,1880
591,Dellar,F,9,1880
592,Donie,F,9,1880
593,Doris,F,9,1880
594,Elda,F,9,1880
595,Elinor,F,9,1880
596,Emeline,F,9,1880
597,Emilia,F,9,1880
598,Esta,F,9,1880
599,Estell,F,9,1880
600,Etha,F,9,1880
601,Fred,F,9,1880
602,Hope,F,9,1880
603,Indiana,F,9,1880
604,Ione,F,9,1880
605,Jettie,F,9,1880
606,Johnnie,F,9,1880
607,Josiephine,F,9,1880
608,Kitty,F,9,1880
609,Lavina,F,9,1880
610,Leda,F,9,1880
611,Letta,F,9,1880
612,Mahala,F,9,1880
613,Marcia,F,9,1880
614,Margarette,F,9,1880
615,Maudie,F,9,1880
616,Maye,F,9,1880
617,Norah,F,9,1880
618,Oda,F,9,1880
619,Patty,F,9,1880
620,Paula,F,9,1880
621,Permelia,F,9,1880
622,Rosalia,F,9,1880
623,Roxanna,F,9,1880
624,Sula,F,9,1880
625,Vada,F,9,1880
626,Winnifred,F,9,1880
627,Adline,F,8,1880
628,Almira,F,8,1880
629,Alvena,F,8,1880
630,Arizona,F,8,1880
631,Becky,F,8,1880
632,Bennie,F,8,1880
633,Bernadette,F,8,1880
634,Camille,F,8,1880
635,Cordia,F,8,1880
636,Corine,F,8,1880
637,Dicie,F,8,1880
638,Dove,F,8,1880
639,Drusilla,F,8,1880
640,Elena,F,8,1880
641,Elenora,F,8,1880
642,Elmina,F,8,1880
643,Ethyl,F,8,1880
644,Evalyn,F,8,1880
645,Evelina,F,8,1880
646,Faye,F,8,1880
647,Huldah,F,8,1880
648,Idell,F,8,1880
649,Inga,F,8,1880
650,Irena,F,8,1880
651,Jewell,F,8,1880
652,Kattie,F,8,1880
653,Lavenia,F,8,1880
654,Leslie,F,8,1880
655,Lovina,F,8,1880
656,Lulie,F,8,1880
657,Magnolia,F,8,1880
658,Margeret,F,8,1880
659,Margery,F,8,1880
660,Media,F,8,1880
661,Millicent,F,8,1880
662,Nena,F,8,1880
663,Ocie,F,8,1880
664,Orilla,F,8,1880
665,Osie,F,8,1880
666,Pansy,F,8,1880
667,Ray,F,8,1880
668,Rosia,F,8,1880
669,Rowena,F,8,1880
670,Shirley,F,8,1880
671,Tabitha,F,8,1880
672,Thomas,F,8,1880
673,Verdie,F,8,1880
674,Walter,F,8,1880
675,Zetta,F,8,1880
676,Zoa,F,8,1880
677,Zona,F,8,1880
678,Albertina,F,7,1880
679,Albina,F,7,1880
680,Alyce,F,7,1880
681,Amie,F,7,1880
682,Angela,F,7,1880
683,Annis,F,7,1880
684,Carol,F,7,1880
685,Carra,F,7,1880
686,Clarence,F,7,1880
687,Clarinda,F,7,1880
688,Delphia,F,7,1880
689,Dillie,F,7,1880
690,Doshie,F,7,1880
691,Drucilla,F,7,1880
692,Etna,F,7,1880
693,Eugenie,F,7,1880
694,Eulalia,F,7,1880
695,Eve,F,7,1880
696,Felicia,F,7,1880
697,Florance,F,7,1880
698,Fronie,F,7,1880
699,Geraldine,F,7,1880
700,Gina,F,7,1880
701,Glenna,F,7,1880
702,Grayce,F,7,1880
703,Hedwig,F,7,1880
704,Jessica,F,7,1880
705,Jossie,F,7,1880
706,Katheryn,F,7,1880
707,Katy,F,7,1880
708,Lea,F,7,1880
709,Leanna,F,7,1880
710,Leitha,F,7,1880
711,Leone,F,7,1880
712,Lidie,F,7,1880
713,Loma,F,7,1880
714,Lular,F,7,1880
715,Magdalen,F,7,1880
716,Maymie,F,7,1880
717,Minervia,F,7,1880
718,Muriel,F,7,1880
719,Neppie,F,7,1880
720,Olie,F,7,1880
721,Onie,F,7,1880
722,Osa,F,7,1880
723,Otelia,F,7,1880
724,Paralee,F,7,1880
725,Patience,F,7,1880
726,Rella,F,7,1880
727,Rillie,F,7,1880
728,Rosanna,F,7,1880
729,Theo,F,7,1880
730,Tilda,F,7,1880
731,Tishie,F,7,1880
732,Tressa,F,7,1880
733,Viva,F,7,1880
734,Yetta,F,7,1880
735,Zena,F,7,1880
736,Zola,F,7,1880
737,Abby,F,6,1880
738,Aileen,F,6,1880
739,Alba,F,6,1880
740,Alda,F,6,1880
741,Alla,F,6,1880
742,Alverta,F,6,1880
743,Ara,F,6,1880
744,Ardelia,F,6,1880
745,Ardella,F,6,1880
746,Arrie,F,6,1880
747,Arvilla,F,6,1880
748,Augustine,F,6,1880
749,Aurora,F,6,1880
750,Bama,F,6,1880
751,Bena,F,6,1880
752,Byrd,F,6,1880
753,Calla,F,6,1880
754,Camilla,F,6,1880
755,Carey,F,6,1880
756,Carlotta,F,6,1880
757,Celestia,F,6,1880
758,Cherry,F,6,1880
759,Cinda,F,6,1880
760,Classie,F,6,1880
761,Claudine,F,6,1880
762,Clemie,F,6,1880
763,Clifford,F,6,1880
764,Clyda,F,6,1880
765,Creola,F,6,1880
766,Debbie,F,6,1880
767,Dee,F,6,1880
768,Dinah,F,6,1880
769,Doshia,F,6,1880
770,Ednah,F,6,1880
771,Edyth,F,6,1880
772,Eleanora,F,6,1880
773,Electa,F,6,1880
774,Eola,F,6,1880
775,Erie,F,6,1880
776,Eudora,F,6,1880
777,Euphemia,F,6,1880
778,Evalena,F,6,1880
779,Evaline,F,6,1880
780,Faith,F,6,1880
781,Fidelia,F,6,1880
782,Freddie,F,6,1880
783,Golda,F,6,1880
784,Harry,F,6,1880
785,Helma,F,6,1880
786,Hermine,F,6,1880
787,Hessie,F,6,1880
788,Ivah,F,6,1880
789,Janette,F,6,1880
790,Jennette,F,6,1880
791,Joella,F,6,1880
792,Kathryne,F,6,1880
793,Lacy,F,6,1880
794,Lanie,F,6,1880
795,Lauretta,F,6,1880
796,Leana,F,6,1880
797,Leatha,F,6,1880
798,Leo,F,6,1880
799,Liller,F,6,1880
800,Lillis,F,6,1880
801,Louetta,F,6,1880
802,Madie,F,6,1880
803,Mai,F,6,1880
804,Martina,F,6,1880
805,Maryann,F,6,1880
806,Melva,F,6,1880
807,Mena,F,6,1880
808,Mercedes,F,6,1880
809,Merle,F,6,1880
810,Mima,F,6,1880
811,Minda,F,6,1880
812,Monica,F,6,1880
813,Nealie,F,6,1880
814,Netta,F,6,1880
815,Nolia,F,6,1880
816,Nonie,F,6,1880
817,Odelia,F,6,1880
818,Ottilie,F,6,1880
819,Phyllis,F,6,1880
820,Robbie,F,6,1880
821,Sabina,F,6,1880
822,Sada,F,6,1880
823,Sammie,F,6,1880
824,Suzanne,F,6,1880
825,Sybilla,F,6,1880
826,Thea,F,6,1880
827,Tressie,F,6,1880
828,Vallie,F,6,1880
829,Venie,F,6,1880
830,Viney,F,6,1880
831,Wilhelmine,F,6,1880
832,Winona,F,6,1880
833,Zelda,F,6,1880
834,Zilpha,F,6,1880
835,Adelle,F,5,1880
836,Adina,F,5,1880
837,Adrienne,F,5,1880
838,Albertine,F,5,1880
839,Alys,F,5,1880
840,Ana,F,5,1880
841,Araminta,F,5,1880
842,Arthur,F,5,1880
843,Birtha,F,5,1880
844,Bulah,F,5,1880
845,Caddie,F,5,1880
846,Celie,F,5,1880
847,Charlotta,F,5,1880
848,Clair,F,5,1880
849,Concepcion,F,5,1880
850,Cordella,F,5,1880
851,Corrine,F,5,1880
852,Delila,F,5,1880
853,Delphine,F,5,1880
854,Dosha,F,5,1880
855,Edgar,F,5,1880
856,Elaine,F,5,1880
857,Elisa,F,5,1880
858,Ellar,F,5,1880
859,Elmire,F,5,1880
860,Elvina,F,5,1880
861,Ena,F,5,1880
862,Estie,F,5,1880
863,Etter,F,5,1880
864,Fronnie,F,5,1880
865,Genie,F,5,1880
866,Georgina,F,5,1880
867,Glenn,F,5,1880
868,Gracia,F,5,1880
869,Guadalupe,F,5,1880
870,Gwendolyn,F,5,1880
871,Hassie,F,5,1880
872,Honora,F,5,1880
873,Icy,F,5,1880
874,Isa,F,5,1880
875,Isadora,F,5,1880
876,Jesse,F,5,1880
877,Jewel,F,5,1880
878,Joe,F,5,1880
879,Johannah,F,5,1880
880,Juana,F,5,1880
881,Judith,F,5,1880
882,Judy,F,5,1880
883,Junie,F,5,1880
884,Lavonia,F,5,1880
885,Lella,F,5,1880
886,Lemma,F,5,1880
887,Letty,F,5,1880
888,Linna,F,5,1880
889,Littie,F,5,1880
890,Lollie,F,5,1880
891,Lorene,F,5,1880
892,Louis,F,5,1880
893,Love,F,5,1880
894,Lovisa,F,5,1880
895,Lucina,F,5,1880
896,Lynn,F,5,1880
897,Madora,F,5,1880
898,Mahalia,F,5,1880
899,Manervia,F,5,1880
900,Manuela,F,5,1880
901,Margarett,F,5,1880
902,Margaretta,F,5,1880
903,Margarita,F,5,1880
904,Marilla,F,5,1880
905,Mignon,F,5,1880
906,Mozella,F,5,1880
907,Natalie,F,5,1880
908,Nelia,F,5,1880
909,Nolie,F,5,1880
910,Omie,F,5,1880
911,Opal,F,5,1880
912,Ossie,F,5,1880
913,Ottie,F,5,1880
914,Ottilia,F,5,1880
915,Parthenia,F,5,1880
916,Penelope,F,5,1880
917,Pinkey,F,5,1880
918,Pollie,F,5,1880
919,Rennie,F,5,1880
920,Reta,F,5,1880
921,Roena,F,5,1880
922,Rosalee,F,5,1880
923,Roseanna,F,5,1880
924,Ruthie,F,5,1880
925,Sabra,F,5,1880
926,Sannie,F,5,1880
927,Selena,F,5,1880
928,Sibyl,F,5,1880
929,Tella,F,5,1880
930,Tempie,F,5,1880
931,Tennessee,F,5,1880
932,Teressa,F,5,1880
933,Texas,F,5,1880
934,Theda,F,5,1880
935,Thelma,F,5,1880
936,Thursa,F,5,1880
937,Ula,F,5,1880
938,Vannie,F,5,1880
939,Verona,F,5,1880
940,Vertie,F,5,1880
941,Wilma,F,5,1880
942,John,M,9655,1880
943,William,M,9532,1880
944,James,M,5927,1880
945,Charles,M,5348,1880
946,George,M,5126,1880
947,Frank,M,3242,1880
948,Joseph,M,2632,1880
949,Thomas,M,2534,1880
950,Henry,M,2444,1880
951,Robert,M,2415,1880
952,Edward,M,2364,1880
953,Harry,M,2152,1880
954,Walter,M,1755,1880
955,Arthur,M,1599,1880
956,Fred,M,1569,1880
957,Albert,M,1493,1880
958,Samuel,M,1024,1880
959,David,M,869,1880
960,Louis,M,828,1880
961,Joe,M,731,1880
962,Charlie,M,730,1880
963,Clarence,M,730,1880
964,Richard,M,728,1880
965,Andrew,M,644,1880
966,Daniel,M,643,1880
967,Ernest,M,615,1880
968,Will,M,588,1880
969,Jesse,M,569,1880
970,Oscar,M,544,1880
971,Lewis,M,517,1880
972,Peter,M,496,1880
973,Benjamin,M,490,1880
974,Frederick,M,483,1880
975,Willie,M,476,1880
976,Alfred,M,469,1880
977,Sam,M,457,1880
978,Roy,M,440,1880
979,Herbert,M,424,1880
980,Jacob,M,404,1880
981,Tom,M,399,1880
982,Elmer,M,373,1880
983,Carl,M,372,1880
984,Lee,M,361,1880
985,Howard,M,357,1880
986,Martin,M,357,1880
987,Michael,M,354,1880
988,Bert,M,348,1880
989,Herman,M,347,1880
990,Jim,M,345,1880
991,Francis,M,344,1880
992,Harvey,M,344,1880
993,Earl,M,335,1880
994,Eugene,M,328,1880
995,Ralph,M,317,1880
996,Ed,M,310,1880
997,Claude,M,309,1880
998,Edwin,M,309,1880
999,Ben,M,305,1880
1000,Charley,M,305,1880
1001,Paul,M,301,1880
1002,Edgar,M,283,1880
1003,Isaac,M,274,1880
1004,Otto,M,271,1880
1005,Luther,M,260,1880
1006,Lawrence,M,257,1880
1007,Ira,M,249,1880
1008,Patrick,M,248,1880
1009,Guy,M,239,1880
1010,Oliver,M,234,1880
1011,Theodore,M,232,1880
1012,Hugh,M,224,1880
1013,Clyde,M,221,1880
1014,Alexander,M,211,1880
1015,August,M,210,1880
1016,Floyd,M,206,1880
